Experiment	Sweep	
Date	30.09.2022 14:35:03	
User		
X (m)	0.000000E+0	
Y (m)	0.000000E+0	
Comment01	BWD, plasmons, Vtip = -132. xyz default	

[DATA]
BB Back Bias (V)	Bias (V)	Current (A)	BBX (Hz)	BB Back Bias (V)	Tip Current (A)
117.150E+0	-132.000E+0	24.7401E-9	30.0400E+3	117.150E+0	29.7449E-9
117.100E+0	-132.000E+0	24.7095E-9	30.8200E+3	117.100E+0	29.7117E-9
117.050E+0	-132.000E+0	24.8075E-9	31.5233E+3	117.050E+0	29.8261E-9
117.000E+0	-132.000E+0	24.7970E-9	29.3700E+3	117.000E+0	29.8112E-9
116.950E+0	-132.000E+0	24.7976E-9	30.8700E+3	116.950E+0	29.8159E-9
116.900E+0	-132.000E+0	24.8130E-9	31.4267E+3	116.900E+0	29.8359E-9
116.850E+0	-132.000E+0	24.7779E-9	31.0100E+3	116.850E+0	29.7919E-9
116.800E+0	-132.000E+0	24.8092E-9	31.7500E+3	116.800E+0	29.8301E-9
116.750E+0	-132.000E+0	24.7162E-9	32.0900E+3	116.750E+0	29.7202E-9
116.700E+0	-132.000E+0	24.7201E-9	32.9967E+3	116.700E+0	29.7231E-9
116.650E+0	-132.000E+0	24.6267E-9	32.1600E+3	116.650E+0	29.6150E-9
116.600E+0	-132.000E+0	24.6439E-9	31.5100E+3	116.600E+0	29.6301E-9
116.550E+0	-132.000E+0	24.7177E-9	32.4333E+3	116.550E+0	29.7210E-9
116.500E+0	-132.000E+0	24.7880E-9	33.3133E+3	116.500E+0	29.8086E-9
116.450E+0	-132.000E+0	24.7595E-9	31.2667E+3	116.450E+0	29.7721E-9
116.400E+0	-132.000E+0	24.6095E-9	29.1900E+3	116.400E+0	29.5897E-9
116.350E+0	-132.000E+0	24.7972E-9	33.3867E+3	116.350E+0	29.8174E-9
116.300E+0	-132.000E+0	24.7090E-9	31.9967E+3	116.300E+0	29.7050E-9
116.250E+0	-132.000E+0	24.7178E-9	32.5367E+3	116.250E+0	29.7216E-9
116.200E+0	-132.000E+0	24.6550E-9	32.3000E+3	116.200E+0	29.6414E-9
116.150E+0	-132.000E+0	24.6988E-9	32.3467E+3	116.150E+0	29.6987E-9
116.100E+0	-132.000E+0	24.8030E-9	31.3533E+3	116.100E+0	29.8233E-9
116.050E+0	-132.000E+0	24.6287E-9	31.1267E+3	116.050E+0	29.6122E-9
116.000E+0	-132.000E+0	24.6835E-9	32.7867E+3	116.000E+0	29.6776E-9
115.950E+0	-132.000E+0	24.6948E-9	30.9233E+3	115.950E+0	29.6901E-9
115.900E+0	-132.000E+0	24.6008E-9	32.2500E+3	115.900E+0	29.5808E-9
115.850E+0	-132.000E+0	24.8055E-9	30.9500E+3	115.850E+0	29.8242E-9
115.800E+0	-132.000E+0	24.6894E-9	31.2000E+3	115.800E+0	29.6863E-9
115.750E+0	-132.000E+0	24.7816E-9	29.7733E+3	115.750E+0	29.7972E-9
